AC No., AC ,PC,District,Percentage of total population,,,,,,Literacy Rate,,,Assembly Election - 2012,,,,,,Assembly Segment of Parliamentary Election - 2014,,,,,
,,,,Hindu Range,Muslim Range,Sikh Range,SC Pop.,Rural Range,Urban Range,Person,Male,Female,1st Party,1st Party %age,2nd Party,2nd Party %age,3rd Party,3rd Party %age,1st Party,1st Party %age,2nd Party,2nd Party %age,3rd Party,3rd Party %age
1,Sujanpur,Gurdaspur,Pathankot,85-90,0-5,5-10,26.71,50-55,40-45,85-90,90-95,75-80,BJP,45.42,IND,24.61,INC,20.72,BJP,52.84,INC,34.64,AAP,8.52
2,Bhoa (SC),Gurdaspur,Pathankot,85-90,0-5,5-10,42.48,90-95,5-10,80-85,85-90,70-75,BJP,46.54,INC,35.35,IND,6.92,BJP,49.47,INC,34.44,AAP,11.82
3,Pathankot,Gurdaspur,Pathankot,85-90,0-5,10-15,19.95,15-20,80-85,85-90,90-95,80-85,BJP,44.56,INC,25.71,IND,25.03,BJP,53.23,INC,33.01,AAP,10.80
4,Gurdaspur,Gurdaspur,Gurdaspur,45-50,0-5,40-45,21.18,55-60,35-40,80-85,85-90,75-80,SAD,57.25,INC,36.64,PPOP,2.59,BJP,43.93,INC,28.81,AAP,23.94
5,Dina Nagar (SC),Gurdaspur,Gurdaspur,60-65,0-5,25-30,32.32,85-90,10-15,80-85,85-90,75-80,INC,52.91,BJP,42.55,CPI,2.52,BJP,41.85,INC,35.42,AAP,18.37
6,Qadian,Gurdaspur,Gurdaspur,25-30,0-5,55-60,14.33,75-80,20-25,75-80,80-85,70-75,INC,48.94,SAD,35.73,IND,12.62,BJP,41.40,INC,39.47,AAP,15.30
7,Batala,Gurdaspur,Gurdaspur,40-45,0-5,50-55,23.07,30-35,65-70,80-85,80-85,75-80,INC,55.69,SAD,39.95,PPOP,1.72,BJP,38.11,INC,32.42,AAP,26.04
8,Sri Hargobindpur (SC),Hoshiarpur (SC),Gurdaspur,0-5,0-5,90-95,28.12,95-100,0-5,70-75,75-80,65-70,SAD,50.96,INC,44.44,PPOP,1.48,BJP,40.93,INC,38.84,AAP,16.59
9,Fatehgarh Churian,Gurdaspur,Gurdaspur,5-10,0-5,75-80,25.68,90-95,5-10,70-75,75-80,65-70,INC,48.84,SAD,48.28,IND,0.99,BJP,46.77,INC,30.39,AAP,18.46
10,Dera Baba Nanak,Gurdaspur,Gurdaspur,10-15,0-5,65-70,14.23,95-100,0-5,70-75,75-80,65-70,INC,50.22,SAD,47.99,BSP,0.74,BJP,49.90,INC,29.60,AAP,15.90
11,Ajnala,Amritsar,Amritsar,5-10,0-5,80-85,23.20,85-90,10-15,65-70,70-75,55-60,SAD,48.32,INC,47.25,IND,1.21,INC,44.24,BJP,43.92,AAP,4.18
12,Raja Sansi,Amritsar,Amritsar,0-5,0-5,90-95,29.39,90-95,5-10,60-65,65-70,55-60,INC,48.63,SAD,47.78,PPOP,1.22,BJP,50.51,INC,37.90,AAP,3.20
13,Majitha,Amritsar,Amritsar,5-10,0-5,85-90,37.44,90-95,5-10,70-75,75-80,65-70,SAD,64.15,IND,22.87,INC,6.62,BJP,53.28,INC,35.00,AAP,5.08
14,Jandiala (SC),Khadoor Sahib,Amritsar,5-10,0-5,90-95,39.48,85-90,10-15,70-75,75-80,65-70,SAD,50.63,INC,44.23,IND,1.69,SAD,40.79,INC,35.07,AAP,17.94
15,Amritsar North,Amritsar,Amritsar,60-65,0-5,35-40,19.14,0-5,95-100,85-90,80-85,70-75,BJP,55.89,INC,40.67,PPOP,0.99,INC,50.49,BJP,35.57,AAP,10.39
16,Amritsar West (SC),Amritsar,Amritsar,45-50,0-5,50-55,23.33,0-5,95-100,80-85,95-100,85-90,INC,47.95,BJP,35.81,CPI,12.24,INC,57.39,BJP,24.78,AAP,12.12
17,Amritsar Central,Amritsar,Amritsar,75-80,0-5,20-25,18.79,0-5,95-100,80-85,80-85,70-75,INC,55.32,BJP,40.37,CPI(M),1.42,INC,53.93,BJP,34.51,AAP,7.22
18,Amritsar East,Amritsar,Amritsar,40-45,0-5,55-60,21.91,0-5,95-100,75-80,80-85,70-75,BJP,36.30,IND,28.59,INC,28.21,INC,57.09,BJP,26.48,AAP,11.27
19,Amritsar South,Amritsar,Amritsar,30-35,0-5,65-70,15.23,0-5,95-100,85-90,80-85,70-75,SAD,52.91,INC,36.42,IND,8.27,INC,51.42,BJP,29.04,AAP,14.91
20,Attari (SC),Amritsar,Amritsar,5-10,0-5,90-95,39.23,85-90,10-15,65-70,70-75,60-65,SAD,49.95,INC,45.51,PPOP,2.93,INC,46.61,BJP,38.27,AAP,6.70
21,Tarn Taran,Khadoor Sahib,Tarn Tarn,5-10,0-5,90-95,31.62,70-75,25-30,70-75,75-80,65-70,SAD,41.62,INC,37.78,IND,14.99,SAD,44.42,INC,38.79,AAP,12.11
22,Khem Karan,Khadoor Sahib,Tarn Tarn,5-10,0-5,90-95,31.50,85-90,10-15,60-65,65-70,55-60,SAD,49.55,INC,40.69,PNPP,5.67,SAD,49.38,INC,41.28,AAP,3.66
23,Patti,Khadoor Sahib,Tarn Tarn,5-10,0-5,90-95,29.37,80-85,15-20,65-70,70-75,60-65,SAD,47.79,INC,47.75,CPI(M),1.64,SAD,49.60,INC,37.90,AAP,7.38
24,Khadoor Sahib,Khadoor Sahib,Tarn Tarn,0-5,0-5,95-100,33.83,95-100,0-5,65-70,70-75,60-65,INC,48.82,SAD,46.59,PPOP,1.27,SAD,56.88,INC,27.53,AAP,9.53
25,Baba Bakala (SC),Khadoor Sahib,Amritsar,5-10,0-5,90-95,35.55,80-85,15-20,75-80,80-85,65-70,SAD,50.45,INC,25.98,IND,14.31,SAD,39.10,INC,33.23,AAP,19.00
26,Bholath,Hoshiarpur (SC),Kapurthala,15-20,0-5,80-85,21.00,80-85,15-20,75-80,80-85,70-75,SAD,51.35,INC,44.07,PPOP,1.92,BJP,45.22,INC,33.60,AAP,16.94
27,Kapurthala,Khadoor Sahib,Kapurthala,40-45,0-5,55-60,29.24,45-50,45-50,75-80,80-85,75-80,INC,55.32,SAD,40.55,BSP,1.45,SAD,37.99,INC,36.02,AAP,20.29
28,Sultanpur Lodhi,Khadoor Sahib,Kapurthala,20-25,0-5,75-80,28.42,80-85,15-20,70-75,75-80,65-70,INC,48.33,SAD,44.00,PPOP,2.29,SAD,39.35,INC,28.47,AAP,24.95
29,Phagwara (SC),Hoshiarpur (SC),Kapurthala,60-65,0-5,30-35,38.29,50-55,45-50,80-85,85-90,75-80,BJP,40.96,INC,28.04,BSP,23.18,INC,33.22,BJP,29.07,AAP,25.38
30,Phillaur (SC),Jalandhar (SC),Jalandhar,55-60,0-5,35-40,46.85,80-85,15-20,80-85,80-85,75-80,SAD,32.58,INC,32.55,BSP,29.90,INC,36.66,AAP,24.85,SAD,23.50
31,Nakodar,Jalandhar (SC),Jalandhar,50-55,0-5,40-45,43.89,75-80,20-25,75-80,80-85,70-75,SAD,44.44,INC,38.23,BSP,13.12,SAD,29.96,AAP,29.32,INC,26.08
32,Shahkot,Jalandhar (SC),Jalandhar,30-35,0-5,65-70,33.89,85-90,10-15,70-75,75-80,65-70,SAD,45.17,INC,40.78,PPOP,7.96,SAD,41.15,AAP,25.70,INC,25.10
