AC No., AC ,PC,District,Percentage of total population,,,,,Literacy Rate,,,Assembly Election - 2012,,,,,,Assembly Segment of Parliamentary Election - 2014,,,,,
,,,,Hindu Range,Muslim Range,SC%,Rural Range,Urban Range,Person,Male,Female,1st Party,1st Party %age,2nd Party,2nd Party %age,3rd Party,3rd Party %age,1st Party,1st Party %age,2nd Party,2nd Party %age,3rd Party,3rd Party %age
1,Behat,Saharanpur,Saharanpur,45-50,45-50,19.36,90-95,5-10,60-65,70-75,55-60,BSP,31.78,INC,31.55,SP,21.42,INC,36.91,BJP,32.58,BSP,20.76
2,Nakur,Kairana,Saharanpur,60-65,35-40,24.16,85-90,10-15,65-70,75-80,60-65,BSP,38.65,INC,36.67,SP,12.79,BJP,43.85,SP,30.04,BSP,22.59
3,Saharanpur Nagar,Saharanpur,Saharanpur,55-60,35-40,14.89,0-5,95-100,75-80,80-85,70-75,BJP,38.80,INC,33.05,BSP,16.47,BJP,49.50,INC,40.68,BSP,5.59
4,Saharanpur,Saharanpur,Saharanpur,50-55,40-45,27.64,85-90,10-15,70-75,75-80,60-65,BSP,39.57,INC,31.17,SP,21.10,INC,37.20,BJP,30.10,BSP,26.20
5,Deoband,Saharanpur,Saharanpur,60-65,30-35,23.49,75-80,20-25,70-75,75-80,60-65,SP,34.05,BSP,32.50,INC,23.23,BJP,44.71,INC,28.85,BSP,19.81
6,Rampur Maniharan (SC),Saharanpur,Saharanpur,65-70,25-30,31.40,85-90,10-15,70-75,80-85,60-65,BSP,39.53,INC,25.92,SP,24.30,BJP,39.59,BSP,28.87,INC,25.65
7,Gangoh,Kairana,Saharanpur,60-65,35-40,18.70,75-80,20-25,65-70,75-80,55-60,INC,28.44,SP,26.68,BSP,17.95,BJP,49.74,SP,27.69,BSP,17.52
8,Kairana,Kairana,Muzaffarnagar,50-55,45-50,7.70,70-75,25-30,55-60,70-75,45-50,BJP,45.17,BSP,34.17,SP,11.96,BJP,48.37,SP,35.55,BSP,11.43
9,Thana Bhawan,Kairana,Muzaffarnagar,60-65,30-35,15.92,80-85,15-20,65-70,75-80,55-60,BJP,30.68,RLD,30.52,BSP,28.55,BJP,51.92,SP,28.82,BSP,11.33
10,Shamli,Kairana,Muzaffarnagar,65-70,30-35,10.03,55-60,40-45,70-75,80-85,60-65,INC,32.05,SP,29.83,BSP,27.09,BJP,60.48,SP,25.20,RLD,6.42
11,Budhana,Muzaffarnagar,Muzaffarnagar,55-60,40-45,9.56,80-85,15-20,65-70,75-80,50-55,SP,35.45,RLD,29.95,BSP,21.43,BJP,61.51,SP,24.34,BSP,11.26
