AC No., AC ,PC,District,Percentage of total population,,,,,,,Literacy Rate,,,Assembly Election - 2012,,,,,,Assembly Segment of Parliamentary Election - 2014,,,,,
,,,,Hindu Range,Muslim Range,Sikh Range,SC%,ST%,Rural Range,Urban Range,Person,Male,Female,1st Party,1st Party %age,2nd Party,2nd Party %age,3rd Party,3rd Party %age,1st Party,1st Party %age,2nd Party,2nd Party %age,3rd Party,3rd Party %age
1,Purola (SC),Tehri Garhwal,Uttarkashi,95-100,0-5,0-5,29.55,0.78,95-100,0-5,65-70,80-85,55-60,BJP,39.75,IND,31.33,INC,23.73,BJP,55.12,INC,35.21,AAP,2.34
2,Yamunotri,Tehri Garhwal,Uttarkashi,95-100,0-5,0-5,25.57,0.05,90-95,5-10,75-80,90-95,60-65,UKDP,36.21,INC,30.30,BJP,27.22,BJP,61.08,INC,27.99,BSP,2.69
3,Gangotri,Tehri Garhwal,Uttarkashi,95-100,0-5,0-5,15.23,1.71,80-85,10-15,80-85,90-95,65-70,INC,40.13,BJP,26.21,IND,12.76,BJP,59.07,INC,29.98,AAP,2.51
4,Badrinath,Garhwal,Chamoli,95-100,0-5,0-5,17.68,6.75,70-75,25-30,85-90,90-95,75-80,INC,39.08,BJP,20.53,UtRM,13.66,BJP,55.52,INC,35.85,BSP,1.60
5,Tharali (SC),Garhwal,Chamoli,95-100,0-5,0-5,20.70,0.83,95-100,0-5,75-80,90-95,65-70,INC,32.86,BJP,31.59,CPM,8.04,BJP,57.07,INC,33.03,CPI(ML)(L),1.77
6,Karnprayag,Garhwal,Chamoli,95-100,0-5,0-5,16.12,0.65,85-90,10-15,80-85,90-95,70-75,INC,22.78,IND,22.31,BJP,17.05,BJP,57.15,INC,33.09,CPI(ML)(L),1.65
7,Kedarnath,Garhwal,Rudraprayag,95-100,0-5,0-5,18.59,0.10,95-100,0-5,80-85,95-100,70-75,INC,42.04,BJP,37.13,CPM,5.04,BJP,56.52,INC,34.38,BSP,1.68
8,Rudraprayag,Garhwal,Rudraprayag,95-100,0-5,0-5,16.92,0.06,90-95,5-10,75-80,90-95,65-70,INC,29.65,BJP,27.10,IND,15.31,BJP,60.99,INC,28.57,BSP,2.03
9,Ghanshali (SC),Tehri Garhwal,Tehri Garhwal,95-100,0-5,0-5,17.75,0.02,95-100,0-5,70-75,85-90,55-60,BJP,58.65,INC,25.53,IND,5.90,BJP,60.98,INC,25.29,AAP,2.23
10,Deoprayag,Garhwal,Tehri Garhwal,95-100,0-5,0-5,16.91,0.00,95-100,0-5,75-80,85-90,65-70,IND,30.61,BJP,26.77,IND,16.70,BJP,67.22,INC,23.80,BSP,1.42
11,Narendranagar,Garhwal,Tehri Garhwal,95-100,0-5,0-5,9.38,0.06,65-70,25-30,75-80,85-90,65-70,INC,43.47,BJP,42.65,IND,7.06,BJP,67.75,INC,25.39,CPI,1.10
12,Pratapnagar,Tehri Garhwal,Tehri Garhwal,95-100,0-5,0-5,14.49,0.04,95-100,0-5,75-80,90-95,60-65,INC,31.38,BJP,29.98,IND,20.50,BJP,53.51,INC,32.73,IND,2.73
13,Tehri,Tehri Garhwal,Tehri Garhwal,95-100,0-5,0-5,10.77,0.39,65-70,30-35,80-85,90-95,70-75,IND,29.77,INC,28.83,BJP,24.33,BJP,63.36,INC,26.81,AAP,2.49
14,Dhanolti,Tehri Garhwal,Tehri Garhwal,95-100,0-5,0-5,17.61,0.15,95-100,0-5,75-80,85-90,60-65,BJP,26.40,INC,23.89,IND,22.42,BJP,58.20,INC,32.37,AAP,1.54
15,Chakrata (ST),Tehri Garhwal,Dehradun,95-100,0-5,0-5,28.57,61.62,95-100,0-5,65-70,75-80,55-60,INC,51.16,UJP,40.90,BJP,3.00,INC,49.48,BJP,41.76,AAP,1.93
16,Vikasnagar,Tehri Garhwal,Dehradun,70-75,20-25,0-5,12.76,8.50,75-80,20-25,75-80,80-85,70-75,INC,48.34,BJP,33.79,BSP,4.25,BJP,57.19,INC,35.33,AAP,1.83
17,Sahaspur,Tehri Garhwal,Dehradun,70-75,25-30,0-5,11.95,7.67,90-95,5-10,75-80,85-90,70-75,BJP,31.28,INC,24.69,IND,11.64,BJP,50.07,INC,40.40,AAP,1.88
18,Dharampur,Hardwar,Dehradun,65-70,25-30,0-5,10.63,0.10,50-55,45-50,85-90,90-95,80-85,INC,50.38,BJP,37.86,BSP,5.06,BJP,55.65,INC,36.74,AAP,3.15
19,Raipur,Tehri Garhwal,Dehradun,90-95,0-5,0-5,10.91,0.54,40-45,55-60,85-90,90-95,85-90,INC,39.05,BJP,38.43,BSP,6.71,BJP,61.67,INC,28.98,AAP,4.34
20,Rajpur Road (SC),Tehri Garhwal,Dehradun,85-90,10-15,0-5,16.50,0.34,0-5,95-100,80-85,85-90,75-80,INC,46.98,BJP,41.88,BSP,8.32,BJP,60.20,INC,30.14,AAP,4.78
21,Dehradun Cantonment,Tehri Garhwal,Dehradun,85-90,10-15,0-5,7.55,0.67,0-5,95-100,80-85,85-90,75-80,BJP,47.43,INC,39.30,UtRM,5.41,BJP,63.37,INC,27.42,AAP,5.16
22,Mussoorie,Tehri Garhwal,Dehradun,85-90,0-5,0-5,14.83,0.53,50-55,45-50,85-90,90-95,80-85,BJP,44.53,INC,29.04,IND,14.66,BJP,59.06,INC,32.47,AAP,4.54
23,Doiwala,Hardwar,Dehradun,85-90,5-10,0-5,13.91,0.43,90-95,5-10,80-85,90-95,75-80,BJP,30.68,INC,29.01,IND,14.71,BJP,58.97,INC,33.52,AAP,2.63
24,Rishikesh,Hardwar,Dehradun,95-100,0-5,0-5,9.34,2.03,35-40,60-65,85-90,90-95,75-80,BJP,35.88,INC,26.91,IND,21.79,BJP,65.89,INC,23.65,AAP,4.37
25,Hardwar,Hardwar,Haridwar,90-95,0-5,0-5,16.07,0.05,0-5,95-100,80-85,85-90,75-80,BJP,51.31,INC,40.85,BSP,3.91,BJP,65.72,INC,25.54,BSP,3.10
26,B.H.E.L. Ranipur,Hardwar,Haridwar,80-85,10-15,0-5,18.06,0.05,25-30,70-75,80-85,85-90,75-80,BJP,34.01,IND,25.50,BSP,18.29,BJP,55.77,INC,31.75,BSP,7.40
27,Jwalapur (SC),Hardwar,Haridwar,55-60,40-45,0-5,24.45,0.00,95-100,0-5,65-70,75-80,55-60,BJP,30.26,BSP,29.46,INC,29.33,INC,39.86,BJP,39.84,BSP,16.06
28,Bhagwanpur (SC),Hardwar,Haridwar,55-60,40-45,0-5,28.00,0.00,90-95,5-10,65-70,75-80,55-60,BSP,46.89,INC,38.26,BJP,13.56,INC,44.08,BJP,39.10,BSP,13.36
29,Jhabrera (SC),Hardwar,Haridwar,60-65,35-40,0-5,31.34,0.01,85-90,10-15,70-75,85-90,70-75,BSP,32.87,INC,27.37,BJP,23.33,BJP,44.42,INC,34.33,BSP,17.93
30,Pirankaliyar,Hardwar,Haridwar,50-55,45-50,0-5,20.19,0.04,65-70,30-35,65-70,75-80,60-65,INC,35.05,BSP,32.41,BJP,29.33,INC,40.79,BJP,38.29,BSP,17.21
31,Roorkee,Hardwar,Haridwar,70-75,20-25,0-5,12.14,0.04,5-10,90-95,85-90,90-95,80-85,INC,37.77,BJP,36.47,BSP,15.93,BJP,59.63,INC,33.74,BSP,3.43
32,Khanpur,Hardwar,Haridwar,65-70,30-35,0-5,23.74,0.01,60-65,30-35,65-70,75-80,55-60,INC,26.26,BSP,23.03,BJP,22.30,BJP,49.62,INC,34.49,BSP,11.74
33,Manglore,Hardwar,Haridwar,50-55,45-50,0-5,20.76,0.00,65-70,30-35,60-65,70-75,55-60,BSP,34.03,INC,33.07,RLD,26.66,INC,40.60,BJP,36.93,BSP,19.30
34,Laksar,Hardwar,Haridwar,65-70,30-35,0-5,23.42,0.00,80-85,10-15,70-75,80-85,60-65,BJP,39.41,BSP,23.62,IND,19.81,BJP,45.01,INC,36.02,BSP,15.71
35,Hardwar Rural,Hardwar,Haridwar,60-65,30-35,0-5,20.13,2.15,95-100,0-5,65-70,75-80,55-60,BJP,32.40,INC,27.41,BSP,24.67,BJP,44.81,INC,41.06,BSP,9.87
