No. of AC,Name of AC,Winner,,,,Runner up,,,,Winning Margin of Votes,Winning Margin of Votes %,3rd Position,,,,4th Position,,,,5th Position,,,,NOTA Votes,NOTA Votes %,Others & IND Parties Votes,Others & IND Parties Votes %,Total Votes,6th Position,,,,7th Position,,,,8th Position,,,,9th Position,,,,10th Position,,,,11th Position,,,,12th Position,,,
,,Party Name,Candidate Name,Party Votes,Party Votes %,Party Name,Candidate Name,Party Votes,Party Votes %,,,Party Name,Candidate Name,Party Votes,Party Votes %,Party Name,Candidate Name,Party Votes,Party Votes %,Party Name,Candidate Name,Party Votes,Party Votes %,,,,,,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Mandrem,INC,Dayanand Raghunath Sopte,16490,58.96,BJP,Laxmikant Parsekar,9371,33.51,7119,25.46,MAG,Shridhar Ladu Manjrekar,678,2.42,AAP,Devendra Krishnaji Prabhu Parsekar Desai,620,2.22,NCP,Rajendra M. Satelkar,234,0.84,415,1.48,158,0.56,27966,IND,Sanjay Krishnarao Prabhu Desai,101,0.36,BMP,Bhim Raghuvir Pednekar,57,0.20,,,,,,,,,,,,,,,,,,,,
2,Pernem (SC),MAG,Ajgaonkar Manohar Trimbak,15745,56.78,BJP,Rajendra Arlekar,9715,35.03,6030,21.75,INC,Vikesh Ramesh Assotikar,1013,3.65,AAP,Shivanand Krishna Pilarnkar,308,1.11,GVP,Gopaldas Anant Arlekar,180,0.65,469,1.69,300,1.08,27730,NCP,Santosh Shankar Mandrekar,124,0.45,BMP,Nitin Mohan Chopdekar,105,0.38,GPP,Dnyaneswar Sitaram Varkhankar,71,0.26,,,,,,,,,,,,,,,,
3,Bicholim,BJP,Rajesh Patnekar,10654,45.71,MAG,Naresh Sawal,9988,42.86,666,2.86,INC,Manohar Pandurang Shirodkar,1761,7.56,AAP,Sainath Patekar,358,1.54,GPP,Raut Pandurang Dattaram,324,1.39,221,0.95,0,0.00,23306,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Tivim,INC,Nilkanth Ramnath Halarnkar,11099,49.20,BJP,Kiran Mohan Kandolkar,10304,45.67,795,3.52,AAP,Pradeep Amonkar Ghadi,703,3.12,NCP,Douglas Lawrence Sequeira,275,1.22,,,,,179,0.79,0,0.00,22560,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Mapusa,BJP,Francisco C. J. A. De Pinto E Souza,10957,48.13,MAG,Vinod Fadke,4129,18.14,6828,29.99,INC,Vijay Laxman Bhike,3013,13.24,AAP,Shraddha Khalap,2321,10.20,IND,Domnic Alphonso,1543,6.78,409,1.80,392,1.72,22764,NCP,Sanjay Vithu Barde,289,1.27,GSRP,Rameshwari Morajkar,103,0.45,,,,,,,,,,,,,,,,,,,,
6,Siolim,GFP,Vinoda Datarama Paliencar,10189,43.36,BJP,Dayanand Rayu Mandrekar,8748,37.23,1441,6.13,AAP,Vishnu Mhaddu Naik,1854,7.89,IND,Patrick Savio Almeida,1497,6.37,GSM,Paresh Raikar,532,2.26,212,0.90,464,1.97,23496,NCP,Abhijit Dhargalkar,275,1.17,BMP,Janardan Narahari Tamhankar,116,0.49,IND,Mukesh Sawant,73,0.31,,,,,,,,,,,,,,,,
7,Saligao,GFP,Jayesh Vidyadhar Salgaonkar,9735,46.30,BJP,Dilip Parulekar,7598,36.13,2137,10.16,INC,Agnelo Nicholas Fernandes,1616,7.68,AAP,Dattatraya Vittal Padgaonkar,1330,6.32,SHS,Rajesh Dabholkar,428,2.04,171,0.81,150,0.71,21028,CPI,Gajanan Rama Naik,150,0.71,,,,,,,,,,,,,,,,,,,,,,,,
8,Calangute,BJP,Michael Vincent Lobo,11136,55.45,INC,Joseph Robert Sequeira,7311,36.40,3825,19.05,AAP,Godwin Fernandes,1465,7.29,,,,,,,,,172,0.86,0,0.00,20084,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Porvorim,IND,Rohan Khaunte,11174,56.85,BJP,Guruprasad R. Pawaskar,6961,35.41,4213,21.43,AAP,Rajesh Valvaikar,846,4.30,MAG,Rajesh Vishnu Sinai Amonkar Alias Rajesh Amonkar,222,1.13,IND,Wilbur Fredrick Ticlo,144,0.73,176,0.90,133,0.68,19656,SJP(CS),Raju D'Souza,133,0.68,,,,,,,,,,,,,,,,,,,,,,,,
10,Aldona,BJP,Glenn Souza Ticlo,9405,43.53,INC,Amarnath Panjikar,4949,22.91,4456,20.62,AAP,Rosy Ursula D'Souza,3272,15.14,MAG,Mahesh Vithu Satelkar,3000,13.89,IND,Anandrao Narayanrao Nagvenkar,643,2.98,196,0.91,141,0.65,21606,NCP,Osbert D'Cunha,141,0.65,,,,,,,,,,,,,,,,,,,,,,,,
11,Panaji,BJP,Sidharth Sripad Kuncalienker,7924,45.70,UGP,Atanasio J. Monserrate,6855,39.54,1069,6.17,AAP,Valmiki Naik,1944,11.21,GSM,Ketan Kirtikumar Prabhu Bhatikar,323,1.86,NCP,Dominic Savio A. E. Fernandes,62,0.36,175,1.01,56,0.32,17339,IND,Dilip Ghadi,36,0.21,IND,Parshuram Dodamani,20,0.12,,,,,,,,,,,,,,,,,,,,
12,Taleigao,INC,Jennifer Monserrate,11534,51.13,BJP,Dattaprasad Naik,8679,38.48,2855,12.66,AAP,Cecille Rodrigues,1976,8.76,IND,Vijay V. More,115,0.51,,,,,252,1.12,0,0.00,22556,,,,,,,,,,,,,,,,,,,,,,,,,,,,
