No. of AC,Name of AC,Phase,Winner,,,,Runner up,,,,Winning Margin of Votes,Winning Margin of Votes %,3rd Position,,,,4th Position,,,,5th Position,,,,NOTA Votes,NOTA Votes %,Others & IND Parties Votes,Others & IND Parties Votes %,Total Votes,6th Position,,,,7th Position,,,,8th Position,,,,9th Position,,,,10th Position,,,,11th Position,,,
,,,Party Name,Candidate Name,Party Votes,Party Votes %,Party Name,Candidate Name,Party Votes,Party Votes %,,,Party Name,Candidate Name,Party Votes,Party Votes %,Party Name,Candidate Name,Party Votes,Party Votes %,Party Name,Candidate Name,Party Votes,Party Votes %,,,,,,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Khundrakpam,I,INC,Thokchom Lokeshwar Singh,12849,56.12,BJP,Thangjam Mohendro Singh,9790,42.76,3059,13.36,CPIM,Yumlembam Jogendro,129,0.56,NPP,Lairenlakpam Lala Singh,36,0.16,,,,,92,0.40,0,0.00,22896,,,,,,,,,,,,,,,,,,,,,,,,
2,Heingang,I,BJP,Nongthombam Biren Singh,10439,38.11,AITC,Pangeijam Saratchandra Singh,9233,33.70,1206,4.40,INC,Naoroibam Ratan Meetei (Kapu),7329,26.75,MDPF,Dr. Gurumayum Tonsana Sharma,113,0.41,IND,Thokchom Romeo Singh,91,0.33,130,0.47,59,0.22,27394,MPP,Yengkokpam Priyokumar Singh,59,0.22,,,,,,,,,,,,,,,,,,,,
3,Khurai,I,BJP,Leishangthem Susindro Meitei,15005,51.41,INC,Dr. Ngairangbam Bijoy Singh,13061,44.75,1944,6.66,CPI,R.K.Amusana,800,2.74,,,,,,,,,322,1.10,0,0.00,29188,,,,,,,,,,,,,,,,,,,,,,,,
4,Kshetrigao,I,BJP,Nahakpam Indrajit Singh,10411,34.36,INC,Md. Amin Shah,10031,33.10,380,1.25,MNDF,Th. Nandakishor Singh,9190,30.33,NPP,Vivekraj Wangkhem,281,0.93,MPP,Md. Azizul Hague Khan,80,0.26,174,0.57,136,0.45,30303,AIFB,Md. Abir Khan,69,0.23,AITC,Md. Zameer Ahmed,67,0.22,,,,,,,,,,,,,,,,
5,Thongju,I,BJP,Thongam Biswajit Singh,16809,62.61,INC,Thokchom Ajit Singh,9508,35.42,7301,27.20,AITC,L. Geetaranjan Sharma,131,0.49,,,,,,,,,398,1.48,0,0.00,26846,,,,,,,,,,,,,,,,,,,,,,,,
6,Keirao,I,BJP,Lourembam Rameshwor Meetei,5959,22.81,IND,Md. Nasiruddin Khan,5421,20.75,538,2.06,INC,Karam Thamarjit Singh,4715,18.04,NEIDP,Thongram Gopen,4477,17.13,NCP,Md. Islamuddin Khan,3241,12.40,80,0.31,2237,8.56,26130,LJSP,Takhellambam Samananda Singh,1446,5.53,MNDF,Ningthoujam Itomba Meetei,685,2.62,IND,Md. Wahidur Rahman,106,0.41,,,,,,,,,,,,
7,Andro,I,INC,Thounaojam Shyamkumar,18761,62.85,BJP,Dr. Nimaichand Luwang,10775,36.10,7986,26.75,MNDF,Keisham Ningthemjao Singh,162,0.54,,,,,,,,,152,0.51,0,0.00,29850,,,,,,,,,,,,,,,,,,,,,,,,
8,Lamlai,I,INC,Ksh. Biren Singh,12339,48.02,BJP,Khongbantabam Ibomcha,11487,44.70,852,3.32,CPI,Huirem Bimol,1712,6.66,,,,,,,,,158,0.61,0,0.00,25696,,,,,,,,,,,,,,,,,,,,,,,,
9,Thangmeiband,I,INC,Khumukcham Joykisan Singh,11596,48.84,BJP,Jyotin Waikhom,11439,48.17,157,0.66,PRJA,Erendro Leichombam,573,2.41,,,,,,,,,137,0.58,0,0.00,23745,,,,,,,,,,,,,,,,,,,,,,,,
10,Uripok,I,NPP,Yumnam Joykumar Singh,6469,32.03,INC,Laishram Nandakumar Singh,6124,30.32,345,1.71,BJP,Dr. Nameirakpam Dwijamani Singh,5986,29.64,LJSP,Nameirakpam Santosh Singh,1332,6.60,,,,,284,1.41,0,0.00,20195,,,,,,,,,,,,,,,,,,,,,,,,
11,Sagolband,I,INC,Rajkumar Imo Singh,9211,47.07,BJP,Dr. Khwairakpam Loken Singh,9192,46.98,19,0.10,NPP,G. Satyabati Devi,982,5.02,IND,Laishram Gyaneshwar,31,0.16,,,,,151,0.77,0,0.00,19567,,,,,,,,,,,,,,,,,,,,,,,,
12,Keishamthong,I,NPP,Langpoklakpam Jayantakumar Singh,10000,43.28,INC,Laisom Ibomcha Singh,6739,29.16,3261,14.11,BJP,Rajkumar Shivachandra Singh,5003,21.65,NEIDP,Potsangbam Dhanakumar Singh,611,2.64,MPP,Khaba Paonam,204,0.88,206,0.89,344,1.49,23107,LJSP,Heishnam Lokeshwar Singh,171,0.74,MNDF,Yumnam Romola Devi,96,0.42,AIFB,Changamayum Ganeshlal Singh,77,0.33,,,,,,,,,,,,
