No. of AC,Name of AC,Winner,,,,Runner up,,,,Winning Margin of Votes,Winning Margin of Votes %,3rd Position,,,,4th Position,,,,5th Position,,,,NOTA Votes,NOTA Votes %,Others & IND Parties Votes,Others & IND Parties Votes %,Total Votes,6th Position,,,,7th Position,,,,8th Position,,,,9th Position,,,,10th Position,,,,11th Position,,,,12th Position,,,,13th Position,,,,14th Position,,,,15th Position,,,,16th Position,,,,17th Position,,,,18th Position,,,
,,Party Name,Candidate Name,Party Votes,Party Votes %,Party Name,Candidate Name,Party Votes,Party Votes %,,,Party Name,Candidate Name,Party Votes,Party Votes %,Party Name,Candidate Name,Party Votes,Party Votes %,Party Name,Candidate Name,Party Votes,Party Votes %,,,,,,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Sujanpur,BJP,Dinesh Singh,48910,39.01,INC,Amit Singh,30209,24.10,18701,14.92,IND,Naresh Puri,28675,22.87,RMPI,Natha Singh,10581,8.44,AAP,Kulbhushan Singh,2831,2.26,1008,0.80,3155,2.52,125369,BSP,Karnail Chand,1083,0.86,APP,Romesh Singh Jasrotia,908,0.72,SHS,Saurab Dubey,701,0.56,IND,Guru Dutt Sharma,463,0.37,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Bhoa (SC),INC,Joginder Pal,67865,51.77,BJP,Seema Kumari,40369,30.79,27496,20.97,RMPI,Lal Chand Kataruchak,13353,10.19,AAP,Amarjeet Singh,3767,2.87,IND,Mahasha Vinod Kumar,750,0.57,454,0.35,4533,3.46,131091,BSP,Chain Singh,695,0.53,IND,Balbir Ram Fatehpuria,657,0.50,AITC,Master Sampuran Singh Saidipur,643,0.49,HUP,Balbir Singh,465,0.35,IND,Lubhaya Ram,458,0.35,APP,Anika Ray,367,0.28,IND,Dharminder Kumar,358,0.27,IND,Surinder Kumar Kalotra,302,0.23,IND,Dalip Singh Surajvanshi Advocate,221,0.17,SHS,Bobby Sandhu,219,0.17,IND,Geeta,148,0.11,,,,,,,,
3,Pathankot,INC,Amit,56383,50.86,BJP,Ashwani Kumar,45213,40.79,11170,10.08,AAP,Raj Kumar,6036,5.45,IND,Ashok Sharma,703,0.63,BSP,Ankur Khajuria,470,0.42,907,0.82,1141,1.03,110853,SHS,Sat Pal,352,0.32,IND,Raman Pal,277,0.25,APP,Sunita Devi,185,0.17,HUP,Ravi Kumar,176,0.16,HSS,Kiran Bala,151,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Gurdaspur,INC,Barindermeet Singh Pahra,67709,57.68,SAD,Gurbachan Singh Babehali,38753,33.01,28956,24.67,AAP,Amarjit Singh Chahal,6949,5.92,APP,Sucha Singh Chhotepur,1740,1.48,HSS,Sandeep Kumar,618,0.53,593,0.51,1028,0.88,117390,BSP,Major Som Nath,564,0.48,HUP,Pankaj,270,0.23,IND,Swaranjit Singh,194,0.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Dina Nagar (SC),INC,Aruna Chaudhary,72176,55.30,BJP,Bishan Dass,40259,30.84,31917,24.45,AAP,Joginder Singh,10258,7.86,CPI,Subash Chander,2937,2.25,IND,Raj Kumar,1436,1.10,1231,0.94,2228,1.71,130525,APP,Sarwan Singh,735,0.56,BSP,Raj Kumar,584,0.45,IND,Kashmir Chand,514,0.39,HUP,Rajinder Kumar,395,0.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Qadian,INC,Fatehjang Singh Bajwa,62596,47.48,SAD,Sewa Singh,50859,38.58,11737,8.90,AAP,Kanwal Preet Singh,14657,11.12,BSP,Mohinder Singh,518,0.39,SAD(A)(M),Gurbachan Singh,436,0.33,953,0.72,1810,1.37,131829,IND,Kulwant Singh,406,0.31,IND,Abhijit Dugal,303,0.23,CPI(ML)(L),Vijay Kumar,293,0.22,IND,Charanjit Kaur,276,0.21,HSS,Rohit Gupta,232,0.18,APP,Kulwant Singh,215,0.16,HUP,Raman Kumar,85,0.06,,,,,,,,,,,,,,,,,,,,,,,,
7,Batala,SAD,Lakhbir Singh Lodhinangal,42517,34.45,INC,Ashwani Sekhri,42032,34.06,485,0.39,AAP,Gurpreet Singh Ghuggi,34302,27.79,APP,Inder Sekhri,691,0.56,IND,Gurpreet Singh Ghulli,622,0.50,713,0.58,2537,2.06,123414,BSP,Bakhshis Singh,546,0.44,IND,Sanjeev Kumar Malhan,444,0.36,IND,Anil Mahajan,357,0.29,CPIM,Avtar Singh,356,0.29,IND,Lakhbir Singh,243,0.20,IND,Ashwani Kumar,226,0.18,IND,Santosh Kumar,197,0.16,IND,Ashwani Kumar Shakri,168,0.14,,,,,,,,,,,,,,,,,,,,
8,Sri Hargobindpur (SC),INC,Balwinder Singh,57489,46.17,SAD,Manjit Singh,39424,31.66,18065,14.51,AAP,Amarpal Singh,24294,19.51,APP,Om Parkash,889,0.71,BSP,Gurmeet Singh,653,0.52,827,0.66,948,0.76,124524,IND,Sarabjit Singh,560,0.45,IND,Sikander Singh,388,0.31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
