No. of AC,Name of AC,Phase,Winner,,,,Runner up,,,,Winning Margin of Votes,Winning Margin of Votes %,3rd Position,,,,4th Position,,,,5th Position,,,,NOTA Votes,NOTA Votes %,Others & IND Parties Votes,Others & IND Parties Votes %,Total Votes,6th Position,,,,7th Position,,,,8th Position,,,,9th Position,,,,10th Position,,,,11th Position,,,,12th Position,,,,13th Position,,,,14th Position,,,,15th Position,,,,16th Position,,,,17th Position,,,,18th Position,,,,19th Position,,,,20th Position,,,,21th Position,,,,22th Position,,,,23th Position,,,,24th Position,,,,25th Position,,,,26th Position,,,,27th Position,,,
,,,Party Name,Candidate Name,Party Votes,Party Votes %,Party Name,Candidate Name,Party Votes,Party Votes %,,,Party Name,Candidate Name,Party Votes,Party Votes %,Party Name,Candidate Name,Party Votes,Party Votes %,Party Name,Candidate Name,Party Votes,Party Votes %,,,,,,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Behat,II,INC,Naresh Saini,97035,38.42,BJP,Mahaveer Singh Rana,71449,28.29,25586,10.13,BSP,Mohd. Iqbal,71019,28.12,IND,Rana Aditya Pratap Singh,4187,1.66,BhSP,Kamran Ali,1255,0.50,1576,0.62,6038,2.39,252559,RLD,Arun,1150,0.46,IND,Hardhyan,1113,0.44,IND,Gopal Singh,945,0.37,IND,Krishna Kumar,810,0.32,IND,Kalyan Singh,659,0.26,BTSP,Lokesh Verma,617,0.24,BMUP,Sakeem Khan,425,0.17,IND,Karm Singh,319,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Nakur,II,BJP,Dr.Dharam Singh Saini,94375,36.93,INC,Imran Masood,90318,35.35,4057,1.58,BSP,Naveen Choudhary,65328,25.57,IND,Kamal Garg,944,0.37,IND,Vijaypal Singh,814,0.32,1232,0.48,2521,0.99,255532,IND,Rajpal Singh,813,0.32,RLD,Ramkumar,783,0.31,AMSP,Parvesh Kumar,295,0.12,BMUP,Rajiv Saini,245,0.10,IND,Indu,245,0.10,IND,Arvind,140,0.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Saharanpur Nagar,II,SP,Sanjay Garg,127210,46.68,BJP,Rajiv Gumber,122574,44.98,4636,1.70,BSP,Mukesh Dixit,17350,6.37,RLD,Bhoora Malik,934,0.34,AIMEIM,Talat Khan,693,0.25,675,0.25,3073,1.13,272509,IND,Shabnam,594,0.22,PBI,Zainul Aabideen Siddiqui,494,0.18,IND,Roshan Singh,409,0.15,BMUP,Bharat Raj,386,0.14,IND,Shiv Kumar Gupta,286,0.10,SJRP,Shiv Kumar,265,0.10,OP,Vinay Dhiman,255,0.09,SHS,Ravinder Arora,223,0.08,IND,Mohd.Mursleen,161,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Saharanpur,II,INC,Masood Akhtar,87689,36.93,BSP,Jagpal Singh,75365,31.74,12324,5.19,BJP,Manoj Chaudhary,58752,24.74,IND,Saad Ali Khan,10950,4.61,RLD,Ayyub Hasan,822,0.35,968,0.41,2922,1.23,237468,LD,Amjad Ali,774,0.33,IND,Shabnoor Begum,596,0.25,IND,Vikram Saini,399,0.17,IND,Parvesh Kumar,376,0.16,BMUP,Suleman,256,0.11,BTSP,Sachin Kumar,220,0.09,AMSP,Bablu,155,0.07,JANP,Naushad,146,0.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Deoband,II,BJP,Brijesh,102244,43.64,BSP,Majid Ali,72844,31.09,29400,12.55,SP,Mavia Ali,55385,23.64,RLD,Bhupeshwar Tyagi,1132,0.48,BMUP,Dharmavir,651,0.28,798,0.34,1252,0.53,234306,BTSP,Rakesh Verma,598,0.26,IND,Umar Nawaz,415,0.18,IND,Zahir Fatma,239,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Rampur Maniharan (SC),II,BJP,Devender Kumar Nim,76465,34.94,BSP,Ravindra Kumar Molhu,75870,34.67,595,0.27,INC,Vishva Dayal Chhotan,61787,28.24,RLD,Dayawati Chaudhry,696,0.32,IND,Bijendra,689,0.31,856,0.39,2468,1.13,218831,IND,Rekha,579,0.26,RGD,Arvind Jhanjhot,523,0.24,BMUP,Suresh Kumar,475,0.22,BTSP,Anju Bala,391,0.18,KISJP,Baby,256,0.12,IVD,Km.Lata,244,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Gangoh,II,BJP,Pradeep Kumar,99446,38.64,INC,Nauman Masood,61418,23.86,38028,14.78,SP,Inder Sain,47219,18.35,BSP,Mahipal Singh Majra,44717,17.37,RLD,Rajnesh Chauhan,1054,0.41,971,0.38,2553,0.99,257378,IND,Yatendera,609,0.24,SSAP,Satnam Singh,579,0.22,IND,Kawar Pal,526,0.20,IND,Vikas Kumar,475,0.18,BTSP,Sonu Verma,364,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Kairana,I,SP,Nahid Hasan,98830,47.26,BJP,Mriganka Singh,77668,37.14,21162,10.12,RLD,Anil Kumar,19992,9.56,BSP,Diwakar Deshwal,6888,3.29,AIMEIM,Maseehulla,1365,0.65,1060,0.51,3331,1.59,209134,LD,Sarfaraj Khan,1127,0.54,IND,Sethpal,623,0.30,IND,Dharmveer,545,0.26,IND,Vinod Kumar,496,0.24,BVSP,Sahendra Pal,290,0.14,BMUP,Sandeep,250,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
