No. of AC,Name of AC,Winner,,,,Runner up,,,,Winning Margin of Votes,Winning Margin of Votes %,3rd Position,,,,4th Position,,,,5th Position,,,,NOTA Votes,NOTA Votes %,Others & IND Parties Votes,Others & IND Parties Votes %,Total Votes,6th Position,,,,7th Position,,,,8th Position,,,,9th Position,,,,10th Position,,,,11th Position,,,,12th Position,,,,13th Position,,,,14th Position,,,,15th Position,,,,16th Position,,,,17th Position,,,,18th Position,,,,19th Position,,,
,,Party Name,Candidate Name,Party Votes,Party Votes %,Party Name,Candidate Name,Party Votes,Party Votes %,,,Party Name,Candidate Name,Party Votes,Party Votes %,Party Name,Candidate Name,Party Votes,Party Votes %,Party Name,Candidate Name,Party Votes,Party Votes %,,,,,,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %,Party Name,Candidate Name, Party Votes ,Party Votes %
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,Purola (SC),INC,Rajkumar,17798,35.93,BJP,Malchand,16785,33.89,1013,2.05,IND,Durgeshwar Lal,13508,27.27,BSP,Ramlal,679,1.37,,,,,762,1.54,0,0.00,49532,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,Yamunotri,BJP,Kedar Singh,19800,42.03,INC,Sanjay Dobhal,13840,29.38,5960,12.65,IND,Prakash Chand Ramola,7061,14.99,IND,Ranveer Singh,4613,9.79,BSP,Rajbahadur Singh Bauddh,530,1.13,424,0.90,836,1.77,47104,SVP,Jaiprakash,342,0.73,IND,Dharmanand Bijalwan,248,0.53,UKD,Purushottam Uniyal,246,0.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,Gangotri,BJP,Gopal Singh Rawat,25683,46.15,INC,Vijaypal Singh Sajwan,16073,28.88,9610,17.27,IND,Suratram Nautiyal,9491,17.05,IND,Bhupendra Singh,1526,2.74,BSP,Vijaypal Tangani,576,1.04,933,1.68,1370,2.46,55652,CPI,Mahaveer Prasad,553,0.99,RJSD,Rajbeer Singh Parmar,412,0.74,IND,Ratan Lal Verma,213,0.38,UKD,Vishnupal Singh Rawat,192,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,Badrinath,BJP,Mahendra Bhatt,29676,46.80,INC,Rajendra Singh Bhandari,24042,37.92,5634,8.89,CPI,Bharat Singh Kunwar,2380,3.75,IND,Vinod Fonia,2370,3.74,BSP,Mukesh Lal Koshwal,1652,2.61,691,1.09,2597,4.10,63408,IND,Aruna Danwashi,916,1.44,SP,Keerat Singh Bhandari,859,1.35,UKD,Devendra Singh Negi,487,0.77,IND,Laxmi Prasad Sati,335,0.53,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,Tharali (SC),BJP,Magan Lal Shah,25810,44.05,INC,Dr. Jeet Ram,20889,35.65,4921,8.40,IND,Guddu Lal,7088,12.10,BSP,Mohan Lal Kanyal,848,1.45,CPIM,Rajpal Kanyal,750,1.28,1757,3.00,1451,2.48,58593,IND,Capt. (Retd) Ganesh Kumar,591,1.01,UKD,Kasbi Lal Shah,335,0.57,SP,Birendra Lal Tamta,270,0.46,PMP,Radha Ballabh Kanyal,255,0.44,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,Karnprayag,BJP,Surendra Singh Negi,28159,51.72,INC,Dr. Ansuya Parsad Maikhuri,20610,37.86,7549,13.87,CPI(ML)(L),Indresh Maikhuri,1331,2.44,UKD,Balwant Singh Negi,1232,2.26,BSP,Jyoti Kanwasi,857,1.57,810,1.49,1443,2.65,54442,IND,Bhagat Singh Negi,673,1.24,IND,Mohan Singh Negi,300,0.55,IND,Padam Singh,281,0.52,IND,Anandmani Dutt Joshi Jhalmama,189,0.35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,Kedarnath,INC,Manoj Rawat,13906,24.74,IND,Kuldeep Singh Rawat,13037,23.20,869,1.55,IND,Asha,11786,20.97,BJP,Shaila Rani Rawat,11472,20.41,UKD,Gangadhar,2734,4.86,715,1.27,2554,4.54,56204,CPIM,Gangadhar,1001,1.78,IND,Shambhu Prasad Bhatt,650,1.16,SSP,Vikram Singh,456,0.81,BSP,Kundan Lal,447,0.80,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,Rudraprayag,BJP,Bharat Singh,29333,50.42,INC,Laxmi Singh Rana,14701,25.27,14632,25.15,IND,Pradeep Prasad Thapliyal,5818,10.00,IND,Jagmohan Singh Rauthan,3342,5.74,BSP,Surjeet Lal,801,1.38,1266,2.18,2915,5.01,58176,CPI,Lalita Prasad,746,1.28,IND,Bhagwati Prasad,711,1.22,IND,Jai Om Prakash,642,1.10,IND,Jagdish Singh,359,0.62,UKD,Devendra Prasad,237,0.41,IND,Anil Rawat,220,0.38,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,Ghanshali (SC),BJP,Shakti Lal Shah,22103,49.34,IND,Dhanilal Shah,10450,23.33,11653,26.01,INC,Bheem Lal Arya,4963,11.08,IND,Prem Lal,3062,6.84,URM,Makan Lal,1458,3.25,995,2.22,1763,3.94,44794,IND,Kamal Das,715,1.60,BSP,Pingal Dass,653,1.46,UKD,Siman Lal Arya,395,0.88,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,Deoprayag,BJP,Vinod Kandari,13824,31.75,IND,Diwakar Bhatt,10325,23.71,3499,8.04,INC,Mantri Prasad Naithani,8742,20.08,IND,Shoorbeer Singh Sajwan,6681,15.34,PMP,Sameer Raturi,728,1.67,294,0.68,2947,6.77,43541,UKD(D),Ganesh Bhatt,702,1.61,IND,Sundar Singh Rana,547,1.26,SSP,Sitaram Ranakoti,454,1.04,IBP,Anil Bahuguna,319,0.73,IND,Deena Devi,309,0.71,BSP,Gauree Sanker,204,0.47,SVP,Jamuna Prasad Raiwani,171,0.39,UKD,Raju Maurya,156,0.36,SHS,Raghunandan Prasad Pandey,85,0.20,,,,,,,,,,,,,,,,,,,,
11,Narendranagar,BJP,Subodh Uniyal,24104,45.87,IND,Om Gopal Rawat,19132,36.41,4972,9.46,INC,Himanshu Bijalwan,4328,8.24,UKD,Sardar Singh,3314,6.31,CPI,Jagdish Kuliyal,427,0.81,563,1.07,677,1.29,52545,BSP,Hakim Singh,417,0.79,SSP,Usha Negi,260,0.49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,Pratapnagar,BJP,Vijay Singh Panwar(Guddu Bhai),15058,36.43,INC,Vikram Singh Negi,13119,31.74,1939,4.69,IBP,Rajeshwar Prasad Painuly,5594,13.53,IND,Murari Lal Khandwal,3774,9.13,UKD,Pankaj Vyas,1078,2.61,556,1.35,2151,5.20,41330,IND,Vijaypal Singh Rawat,1025,2.48,IND,Mohan Singh Negi,503,1.22,IND,Kedar Lal,316,0.76,BSP,Kanak Pal Singh,307,0.74,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,Tehri,BJP,Dhan Singh Negi,20896,47.11,IND,Dinesh Dhanai,14056,31.69,6840,15.42,INC,Narendra Chand Ramola,4466,10.07,HJP,Sushil Chandra Bahuguna,1067,2.41,IND,Sanjay Kumar Maithani,984,2.22,476,1.07,2412,5.44,44357,IND,Trilok Singh Negi,722,1.63,IND,Gopal Dutt Chamoli,585,1.32,UKD,Budhi Singh Pundir,507,1.14,CPIM,Bhagwan Singh Rana,285,0.64,IND,Ganesh Kudiyal,180,0.41,BSP,Somi Lal,133,0.30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,Dhanolti,IND,Pritam Singh Panwar,17811,35.98,BJP,Narayan Singh Rana,16196,32.71,1615,3.26,INC,Manmohan Singh Mall (Mannu Bhai),12193,24.63,UKD,Rakesh Semwal,789,1.59,BSP,Dinesh,551,1.11,640,1.29,1329,2.68,49509,IND,Uttam Singh,534,1.08,IND,Chaman Nautiyal,463,0.94,IBP,Prem Dutt,332,0.67,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,Chakrata (ST),INC,Pritam Singh,34968,48.65,BJP,Madhu Chauhan,33425,46.50,1543,2.15,BSP,Daulat Kunwar,2375,3.30,IND,Swaraj Singh,723,1.01,,,,,391,0.54,0,0.00,71882,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,Vikasnagar,BJP,Munna Singh Chauhan,38895,50.46,INC,Navprabhat,32477,42.13,6418,8.33,IND,Vipul Jain,2412,3.13,BSP,Gireesh Kumar,594,0.77,IND,Sandeep Dubey,499,0.65,466,0.60,1740,2.26,77083,UKD,Digambar Singh,392,0.51,IND,Rajeev Kumar,369,0.48,IND,Gurumel Singh,332,0.43,SP,Kaushal Kishor Gautam,258,0.33,AIFB,Bhaskar Chug,197,0.26,IND,Ashok Singh,103,0.13,IND,Dinesh Kumar Sharma,89,0.12,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,Sahaspur,BJP,Sahdev Singh Pundir,44055,40.50,INC,Kishore Upadhaya,25192,23.16,18863,17.34,IND,Aryendra Sharma,21888,20.12,IND,Laxmi Agarwal,8628,7.93,IND,Gaurav Pundir,2963,2.72,673,0.62,5378,4.94,108777,IND,Prakash Joshi,1410,1.30,CPIM,Shiv Prasad Devli,1110,1.02,BSP,Iltaf,831,0.76,SVP,Adesh Kumar,520,0.48,RLD,Manju Singh,401,0.37,IND,Ram Vachan Ram,332,0.31,IND,Omprakash Sharma,315,0.29,UKD(D),Shashtri Pawan Maletha,294,0.27,SHS,Chaitanya Anil,165,0.15,,,,,,,,,,,,,,,,,,,,
18,Dharampur,BJP,Vinod Chamoli,53828,50.78,INC,Dinesh Agarwal,42875,40.45,10953,10.33,IND,Noor Hassan,4117,3.88,BSP,Saleem Ahmed,951,0.90,IND,Jogendra Rawat,577,0.54,377,0.36,3278,3.09,106003,IND,Rajani Rawat,541,0.51,IND,Ramsukh,475,0.45,UKD,Bahadur Singh Rawat,439,0.41,IND,Mohammad Ismail,356,0.34,IND,Rupendra Kumar Tomar,236,0.22,IND,Niraj Singhal,188,0.18,IND,Gulista Khanam,180,0.17,IND,Pritam Singh Kulvanshi,163,0.15,IND,Anil Kumar Gupta,137,0.13,IND,Brij Bhushan Karanwal,131,0.12,IND,Meherban,113,0.11,IND,Sanjay Srivastava,111,0.10,SVP,Hriday Bhushan Dimri,109,0.10,HJP,Man Mohan Lakhera,99,0.09
19,Raipur,BJP,Umesh Sharma Kau,59764,60.74,INC,Prabhu Lal,22993,23.37,36771,37.37,IND,Rajni Rawat,7569,7.69,IND,Mahender Singh Negi,2714,2.76,BSP,Hari Singh Khorwal,1680,1.71,548,0.56,3130,3.18,98398,IND,Tejendra Singh Rawat,1079,1.10,IND,Rakesh Barthwal,392,0.40,IND,Nirmala Bisht,331,0.34,UKD,Anil Dobhal,293,0.30,IND,Yagya Bhusan Sharma,197,0.20,IND,Nagender Singh,155,0.16,IND,Rukhshar Mansoori,126,0.13,RUP,Rajendra Prasad Gairolla,123,0.13,RAP,Usha Nagar,93,0.09,IND,Mohd. Ehsaan,81,0.08,UPP,Rajkumar Tyagi,77,0.08,SVP,Maa Prabha Kiran,74,0.08,BSDP,Dhan Singh,67,0.07,IND,Vijaynath,42,0.04
20,Rajpur Road (SC),BJP,Khajan Dass,36601,52.69,INC,Raj Kumar,27969,40.27,8632,12.43,BSP,Jag Ram Singh,1959,2.82,IND,Ajay Sonkar,1484,2.14,UKD,Manoj Kumar,297,0.43,697,1.00,452,0.65,69459,IND,T C Bharti,228,0.33,BSDP,Hari Chand,125,0.18,UPP,Sandeep Kumar Pal,99,0.14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,Dehradun Cantonment,BJP,Shri Harbans Kapoor,41142,56.48,INC,Shri Suryakant Dhasmana,24472,33.60,16670,22.89,IND,Shri Anoop Nautiyal,3285,4.51,IND,Shri Naveen Bisht,1303,1.79,BSP,Shri Devendra Kumar,802,1.10,641,0.88,1193,1.64,72838,RLD,Kunwar Japendra Singh Uttarakhandi,325,0.45,NCP,Shri Laxman Singh Negi ( Anil Negi),283,0.39,IND,Shri Kapil Bhatia,159,0.22,IND,Shri Sanjay Goyal,149,0.20,SP,Dr. R.K. Pathak,110,0.15,UKD,Shri Sribilash,103,0.14,IND,Shri Arun Khanna,64,0.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Mussoorie,BJP,Ganesh Joshi,41322,54.68,INC,Godawari Thapli,29245,38.70,12077,15.98,IND,Rajkumar Jaiswal,1692,2.24,BSP,Ashok Panwar,862,1.14,UKD,Jai Prakash Upadhyay,471,0.62,634,0.84,1346,1.78,75572,IND,Sanjay Kundaliya,404,0.53,UKD(D),Aniruddha Sharma,253,0.33,IND,Sushil Kumar Malhotra,212,0.28,IND,Sarika Pradhan,163,0.22,UPP,Gyanveer Tyagi,137,0.18,IND,Carol Alick Rogers,104,0.14,IND,Yeshveer Arya,73,0.10,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,Doiwala,BJP,Trivendra Singh Rawat,58502,60.46,INC,Hira Singh Bisht,33633,34.76,24869,25.70,BSP,A.Hameed,1569,1.62,UKD,Subhash Chandra Purohit,475,0.49,BSDP,Gajendra Singh,313,0.32,994,1.03,1283,1.33,96769,IND,Arun,304,0.31,IND,Usha Rani,274,0.28,IND,Prakash Chandra Tiwari,222,0.23,UKD(D),Balwendra Singh Negi,213,0.22,HJP,Surendra Dutt Petwal,142,0.15,RAP,Shikha Negi,128,0.13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,Rishikesh,BJP,Premchand Aggarwal,45082,45.84,INC,Rajpal Singh Kharola,30281,30.79,14801,15.05,IND,Sandeep Gupta,17149,17.44,BSP,Lallan Bhardwaj Rajbhar,2866,2.91,IND,Vivek Tiwari,889,0.90,775,0.79,1306,1.33,98348,UKD,Rajendra Prasad Gairola,344,0.35,IND,Vijaylaxmi Gusain,240,0.24,IND,Mohit Kumar,230,0.23,NCP,Gurucharan,217,0.22,SVP,Ram Krishana Tiwari,168,0.17,IND,Usha Aswal,107,0.11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
